laptime in seconds,car
115.897,Bentley 2018
115.11,Bentley 2018
119.492,Bentley 2018
117.775,Bentley 2018
117.295,Bentley 2018
116.657,Bentley 2018
115.697,Bentley 2018
116.995,Bentley 2018
115.867,Bentley 2018
114.665,Bentley 2018
116.242,Bentley 2018
114.727,Bentley 2018
117.755,Bentley 2018
116.752,Bentley 2018
117.972,Bentley 2018
117.31,Bentley 2018
115.822,Bentley 2018
117.205,Bentley 2018
119.867,Bentley 2018
115.982,Bentley 2018
117.345,Bentley 2018
118.5,Bentley 2018
118.395,Bentley 2018
117.605,Bentley 2018
116.775,Bentley 2018
118.09,Bentley 2018
117.18,Bentley 2018
116.655,Bentley 2018
114.672,Bentley 2018
116.255,Bentley 2018
115.45,Bentley 2018
118.37,Bentley 2018
116.345,Bentley 2018
115.275,Bentley 2018
115.395,Bentley 2018
117.442,Bentley 2018
116.142,Bentley 2018
115.742,Bentley 2018
118.46,Bentley 2018
118.742,Bentley 2018
116.982,Bentley 2018
115.235,Bentley 2018
116.427,Bentley 2018
118.85,Bentley 2018
119.912,Bentley 2018
117.097,Bentley 2018
117.742,Bentley 2018
118.09,Bentley 2018
116.607,Bentley 2018
115.335,Bentley 2018
116.41,Bentley 2018
116.085,Bentley 2018
117.942,Bentley 2018
118.205,Bentley 2018
119.52,Bentley 2018
115.267,Bentley 2018
114.762,Bentley 2018
116.077,Bentley 2018
115.457,Bentley 2018
116.632,Bentley 2018
117.302,Bentley 2018
115.522,Bentley 2018
117.425,Bentley 2018
118.607,Bentley 2018
117.222,Bentley 2018
117.727,Bentley 2018
114.682,Bentley 2018
117.892,Bentley 2018
117.207,Bentley 2018
116.892,Bentley 2018
120.23,Bentley 2018
114.797,Bentley 2018
117.625,Bentley 2018
116.63,Bentley 2018
119.375,Bentley 2018
117.947,Bentley 2018
118.057,Bentley 2018
114.785,Bentley 2018
116.52,Bentley 2018
118.507,Bentley 2018
117.277,Bentley 2018
116.04,Bentley 2018
116.055,Bentley 2018
115.027,Bentley 2018
118.537,Bentley 2018
116.752,Bentley 2018
115.99,Bentley 2018
115.332,Bentley 2018
120.017,Bentley 2018
116.632,Bentley 2018
118.45,Bentley 2018
117.347,Bentley 2018
114.642,Bentley 2018
113.79,Bentley 2018
115.052,BMW M4
115.27,BMW M4
114.715,BMW M4
115.762,BMW M4
115.507,BMW M4
116.212,BMW M4
113.685,BMW M4
116.085,BMW M4
115,BMW M4
117.195,BMW M4
116.097,BMW M4
115.925,BMW M4
115.5,BMW M4
115.855,BMW M4
116.91,BMW M4
114.322,BMW M4
117.632,BMW M4
115.352,BMW M4
116.177,BMW M4
113.352,BMW M4
118.022,BMW M4
116.917,BMW M4
117.347,BMW M4
114.522,BMW M4
117.862,BMW M4
118.305,BMW M4
116.722,BMW M4
116.32,BMW M4
116.375,BMW M4
114.477,BMW M4
115.757,BMW M4
117.852,BMW M4
116.257,BMW M4
115.73,BMW M4
115.69,BMW M4
120.55,BMW M4
117.147,BMW M4
115.105,BMW M4
115.945,BMW M4
117.315,BMW M4
119.865,BMW M4
116.332,BMW M4
112.932,BMW M4
116.75,BMW M4
114.76,BMW M4
116.002,BMW M4
114.327,BMW M4
118.43,BMW M4
115.165,BMW M4
115.052,BMW M4
115.27,BMW M4
114.715,BMW M4
115.762,BMW M4
115.507,BMW M4
116.212,BMW M4
113.685,BMW M4
116.085,BMW M4
115,BMW M4
117.195,BMW M4
116.097,BMW M4
